SchoolID,School,District,SchoolType,Enrollment,No_of_Program,FrRedLnch_PercentEligible,PercentofStudentsNotChronicallyAbsent,Subject,ParticipationRate2014to2015,PercentageMeetsORExceeds2014to2015
235,Azalea Middle School,Brookings-Harbor SD 17C,M,367,1,62.94,80.9,Science,98,59
4759,Baker Early College,Baker SD 5J,H,169,0,,,English Language Arts,,95
4759,Baker Early College,Baker SD 5J,H,169,0,,,Mathematics,82.1,68.8
4759,Baker Early College,Baker SD 5J,H,169,0,,,Science,100,62.8
8,Baker High School,Baker SD 5J,H,499,1,44.69,77.7,English Language Arts,96.2,81
8,Baker High School,Baker SD 5J,H,499,1,44.69,77.7,Mathematics,95.4,44.8
8,Baker High School,Baker SD 5J,H,499,1,44.69,77.7,Science,96.9,81.1
1,Baker Middle School,Baker SD 5J,M,245,2,53.88,81.1,English Language Arts,98.4,51.5
1,Baker Middle School,Baker SD 5J,M,245,2,53.88,81.1,Mathematics,98.4,36.4
1,Baker Middle School,Baker SD 5J,M,245,2,53.88,81.1,Science,98.4,69.2
4434,Baker Prairie Middle School,Canby SD 86,M,585,1,51.79,85.1,English Language Arts,96.7,55.9
4434,Baker Prairie Middle School,Canby SD 86,M,585,1,51.79,85.1,Mathematics,96.5,44
4434,Baker Prairie Middle School,Canby SD 86,M,585,1,51.79,85.1,Science,99.3,65.8
4728,Baker Web Academy,Baker SD 5J,H,532,0,,77,English Language Arts,90.3,51.3
4728,Baker Web Academy,Baker SD 5J,H,532,0,,77,Mathematics,90.3,25.8
4728,Baker Web Academy,Baker SD 5J,H,532,0,,77,Science,98,55.4
218,Bandon Senior High School,Bandon SD 54,H,229,1,73.8,76.2,English Language Arts,100,56.5
218,Bandon Senior High School,Bandon SD 54,H,229,1,73.8,76.2,Mathematics,100,35.5
218,Bandon Senior High School,Bandon SD 54,H,229,1,73.8,76.2,Science,93.7,59.3
1120,Banks Elementary School,Banks SD 13,E,434,1,36.64,91.1,English Language Arts,97,46.7
1120,Banks Elementary School,Banks SD 13,E,434,1,36.64,91.1,Mathematics,96.2,38.1
1120,Banks Elementary School,Banks SD 13,E,434,1,36.64,91.1,Science,96.7,63.2
1124,Banks High School,Banks SD 13,H,377,1,27.59,86.1,English Language Arts,98.8,71.4
1124,Banks High School,Banks SD 13,H,377,1,27.59,86.1,Mathematics,95.2,33.8
1124,Banks High School,Banks SD 13,H,377,1,27.59,86.1,Science,85.9,79.5
1123,Banks Middle School,Banks SD 13,M,295,1,36.61,94.4,English Language Arts,99.3,50.7
1123,Banks Middle School,Banks SD 13,M,295,1,36.61,94.4,Mathematics,99,44.2
1123,Banks Middle School,Banks SD 13,M,295,1,36.61,94.4,Science,98.9,75.3
1154,Barnes Elementary School,Beaverton SD 48J,E,744,5,70.3,85,English Language Arts,98.9,33.7
1154,Barnes Elementary School,Beaverton SD 48J,E,744,5,70.3,85,Mathematics,98.9,30
1154,Barnes Elementary School,Beaverton SD 48J,E,744,5,70.3,85,Science,100,50.4
5066,Battle Creek Elementary School,Salem-Keizer SD 24J,E,527,0,48.58,84.1,English Language Arts,100,56
5066,Battle Creek Elementary School,Salem-Keizer SD 24J,E,527,0,48.58,84.1,Mathematics,99.6,33.5
5066,Battle Creek Elementary School,Salem-Keizer SD 24J,E,527,0,48.58,84.1,Science,100,75.9
830,Beach Elementary School,Portland SD 1J,E,607,2,52.22,87.6,English Language Arts,91.6,50.6
830,Beach Elementary School,Portland SD 1J,E,607,2,52.22,87.6,Mathematics,91.3,41.5
830,Beach Elementary School,Portland SD 1J,E,607,2,52.22,87.6,Science,88.6,48
241,Bear Creek Elementary School,Bend-LaPine Administrative SD 1,E,717,2,70.71,86.7,English Language Arts,99.7,42
241,Bear Creek Elementary School,Bend-LaPine Administrative SD 1,E,717,2,70.71,86.7,Mathematics,99.7,41
241,Bear Creek Elementary School,Bend-LaPine Administrative SD 1,E,717,2,70.71,86.7,Science,98.9,65.2
831,Beaumont Middle School,Portland SD 1J,M,556,1,39.57,84.5,English Language Arts,88.8,61.8
831,Beaumont Middle School,Portland SD 1J,M,556,1,39.57,84.5,Mathematics,91.5,55.5
831,Beaumont Middle School,Portland SD 1J,M,556,1,39.57,84.5,Science,93.2,69.5
1155,Beaver Acres Elementary School,Beaverton SD 48J,E,780,1,60.26,88.8,English Language Arts,98.1,47.1
1155,Beaver Acres Elementary School,Beaverton SD 48J,E,780,1,60.26,88.8,Mathematics,98.9,46.2
1155,Beaver Acres Elementary School,Beaverton SD 48J,E,780,1,60.26,88.8,Science,100,49.6
105,Beavercreek Elementary School,Oregon City SD 62,E,538,1,38.85,89.7,English Language Arts,99.2,58.3
105,Beavercreek Elementary School,Oregon City SD 62,E,538,1,38.85,89.7,Mathematics,97.7,50.2
105,Beavercreek Elementary School,Oregon City SD 62,E,538,1,38.85,89.7,Science,100,92.3
1187,Beaverton High School,Beaverton SD 48J,H,1717,1,43.16,78.8,English Language Arts,93.5,57
1187,Beaverton High School,Beaverton SD 48J,H,1717,1,43.16,78.8,Mathematics,93,37
1187,Beaverton High School,Beaverton SD 48J,H,1717,1,43.16,78.8,Science,,
375,Bellview Elementary School,Ashland SD 5,E,304,2,39.47,87.9,English Language Arts,100,74.1
375,Bellview Elementary School,Ashland SD 5,E,304,2,39.47,87.9,Mathematics,100,66
375,Bellview Elementary School,Ashland SD 5,E,304,2,39.47,87.9,Science,100,87.5
251,Bend Senior High School,Bend-LaPine Administrative SD 1,H,1713,1,47.75,72.6,English Language Arts,92.2,55.7
